,name,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,Degree,Eccentricity
420,Q495Z4,7.55607477,0.0,0.13234385,1,18
421,Q4LE39,6.75420561,0.00777505,0.1480559,2,16
422,Q6ZS81,7.55607477,0.0,0.13234385,1,18
423,Q86XR8,7.55607477,0.0,0.13234385,1,18
424,Q8IY21,7.55607477,0.0,0.13234385,1,18
425,Q8TCU6,5.95607477,0.03606728,0.16789581,2,16
426,Q8WUX1,7.55607477,0.0,0.13234385,1,18
427,Q92611,7.55607477,0.0,0.13234385,1,18
428,Q96A61,7.55046729,0.00559699,0.13244213,2,18
429,Q99519,7.55607477,0.0,0.13234385,1,18
430,Q9H0R5,7.55607477,0.0,0.13234385,1,18
431,Q9NWS0,7.55607477,0.0,0.13234385,1,18
432,Q9Y5B0,7.55607477,0.0,0.13234385,1,18
433,Q5NF75,6.13084112,0.00554461,0.16310976,3,15
434,O00560,5.71682243,0.0502184,0.17492235,6,16
435,Q92997,7.12990654,0.0,0.14025429,1,16
436,Q5NF78,1.0,0.0,1.0,1,1
437,Q8TDG4,1.0,0.0,1.0,1,1
438,Q5NFA1,6.16448598,0.03120811,0.16221953,8,15
439,P61026,7.163551400000001,0.0,0.13959556,1,16
440,Q01831,5.72056075,0.04081578,0.17480804,3,14
441,Q99550,7.163551400000001,0.0,0.13959556,1,16
442,Q9HB63,6.74299065,0.00689491,0.14830215,2,15
443,Q5NFA4,1.0,0.0,1.0,1,1
444,Q6ICB0,1.0,0.0,1.0,1,1
445,Q5NFA9,7.42803738,0.0,0.13462506,1,17
446,Q5NFB0,6.70654206,0.03789269,0.14910814,7,16
447,O60678,7.70560748,0.0,0.12977562,1,17
448,P05062,7.04579439,0.01845295,0.14192864,3,17
449,P11940,6.20093458,0.03262566,0.16126601,3,17
450,P55199,7.70560748,0.0,0.12977562,1,17
451,Q14204,7.68691589,0.01853422,0.13009119,2,17
452,Q14573,6.66448598,0.01470181,0.15004908,2,15
453,Q5NFB1,7.66542056,0.00118345,0.13045599,2,18
454,Q13765,7.59158879,0.00117949,0.13172473,2,17
455,Q5NFB8,5.79252336,0.0,0.17263633,1,16
456,Q5NFC1,7.91028037,0.00186916,0.12641777,2,16
457,O94832,8.90934579,0.0,0.11224169,1,17
458,P01903,6.91308411,0.00560048,0.14465324,3,15
459,Q5NFC4,7.4317757,0.00341384,0.13455734,2,16
460,Q9NQB0,6.60841121,0.01229344,0.1513223,3,15
461,Q5NFC7,6.31775701,0.00560048,0.15828402,3,15
462,P63172,7.31495327,0.00186916,0.13670627,2,16
463,Q6IPW8,7.31682243,0.0,0.13667135,1,16
464,Q6PKC3,5.32429907,0.03702671,0.18781815,4,14
465,Q5NFD2,7.34766355,0.01538858,0.13609769,3,16
466,P16949,7.50186916,0.02900549,0.13330011,3,17
467,Q58EX2,8.34672897,0.0,0.11980741,1,17
468,Q5NFD3,14.61682243,0.00186916,0.06841432,2,24
469,P09651,13.61962617,0.00373482,0.07342345,2,23
470,Q9NRA8,15.61588785,0.0,0.06403735,1,25
